Date,open,high,low,close,open_binned,high_binned,low_binned,close_binned,volume_binned,quote_asset_volume_binned,num_trades_binned,taker_buy_base_asset_volume_binned,taker_buy_quote_asset_volume_binned,MA_20_binned,EMA_20_binned,BBL_20_2.0_binned,BBM_20_2.0_binned,BBU_20_2.0_binned,BBB_20_2.0_binned,BBP_20_2.0_binned,RSI_14_binned,MACD_12_26_9_binned,MACDs_12_26_9_binned,MACDh_12_26_9_binned,ATR_14_binned,Return_binned,High_Low_binned,Open_Close_binned,UpperShadow_binned,LowerShadow_binned,Hour_binned,Weekday_binned,Volume_MA20_binned,Volume_Change_binned,VWAP_binned,VWAP_20_binned
2025-08-21 00:00:00,114271.23,114821.76,113906.01,113954.62,3,4,4,3,1,1,2,0,0,0.0,0,2.0,0.0,0.0,3.0,3.0,2.0,4,1,4,1.0,0.0,2,0,4,0,0,6,4.0,3.0,0,0.0
2025-08-21 04:00:00,113954.62,114033.84,113582.43,113896.03,3,2,3,3,1,1,0,1,1,0.0,0,2.0,0.0,0.0,4.0,4.0,2.0,4,2,4,0.0,2.0,0,2,0,3,0,6,4.0,2.0,0,0.0
2025-08-21 08:00:00,113896.03,113990.0,113000.0,113148.66,3,2,3,2,0,0,2,0,0,4.0,4,4.0,4.0,4.0,1.0,1.0,0.0,2,0,2,1.0,0.0,2,0,0,2,1,0,2.0,1.0,4,4.0
2025-08-21 12:00:00,113148.65,113995.11,112608.64,112792.08,2,2,2,1,3,3,4,3,3,4.0,3,4.0,4.0,2.0,0.0,0.0,0.0,1,1,1,2.0,1.0,4,1,4,3,2,0,2.0,4.0,4,3.0
2025-08-21 16:00:00,112792.08,112969.47,112015.67,112193.71,1,0,0,0,3,3,3,4,4,4.0,2,3.0,4.0,3.0,0.0,0.0,0.0,0,0,0,2.0,1.0,1,1,0,3,3,0,1.0,2.0,4,2.0
2025-08-21 20:00:00,112193.71,112870.94,112067.46,112500.0,0,0,0,0,0,0,0,0,0,3.0,1,2.0,3.0,2.0,1.0,1.0,1.0,0,0,0,0.0,4.0,1,4,3,1,4,0,0.0,0.0,3,1.0
2025-08-22 00:00:00,112500.0,113525.0,112335.6,112929.24,0,1,1,1,0,0,2,2,2,1.0,0,2.0,1.0,1.0,2.0,2.0,2.0,0,1,0,1.0,4.0,3,4,3,2,0,3,0.0,4.0,3,0.0
2025-08-22 04:00:00,112929.24,113394.76,112708.81,113094.83,1,1,2,2,1,1,1,1,0,0.0,0,4.0,0.0,0.0,2.0,2.0,2.0,2,2,2,0.0,2.0,0,2,2,4,0,3,1.0,2.0,2,0.0
2025-08-22 08:00:00,113094.83,113319.3,112177.27,112320.0,2,0,1,0,1,1,1,1,1,0.0,0,3.0,0.0,0.0,0.0,0.0,1.0,1,2,1,0.0,0.0,2,0,1,1,1,3,0.0,3.0,2,0.0
2025-08-22 12:00:00,112320.01,117296.12,111684.79,116370.75,0,4,0,4,4,4,4,4,4,0.0,1,1.0,0.0,0.0,4.0,4.0,4.0,3,3,3,4.0,4.0,4,4,4,4,2,3,4.0,4.0,1,1.0
2025-08-22 16:00:00,116370.75,117429.05,116116.0,116655.79,4,4,4,4,4,4,4,4,4,1.0,2,1.0,1.0,1.0,4.0,4.0,4.0,3,3,3,4.0,3.0,3,3,4,4,3,3,4.0,0.0,1,2.0
2025-08-22 20:00:00,116655.79,117174.43,116550.96,116935.99,4,4,4,4,2,2,0,0,1,2.0,3,0.0,2.0,3.0,4.0,4.0,4.0,4,4,4,3.0,3.0,0,3,2,0,4,3,4.0,0.0,0,3.0
2025-08-23 00:00:00,116936.0,117030.0,115458.2,115568.77,4,3,3,3,4,4,3,2,2,2.0,4,0.0,2.0,4.0,3.0,3.0,3.0,4,4,4,4.0,0.0,4,0,0,0,0,6,3.0,3.0,0,4.0
2025-08-23 04:00:00,115568.77,116034.53,115551.2,115799.47,3,3,4,3,2,2,0,3,3,3.0,4,0.0,3.0,4.0,3.0,3.0,3.0,4,4,4,3.0,2.0,0,2,1,0,0,6,3.0,1.0,0,4.0
2025-08-23 08:00:00,115799.46,115861.8,115223.43,115310.13,4,4,4,4,0,0,0,1,1,0.0,1,0.0,0.0,0.0,4.0,4.0,2.0,4,0,4,4.0,1.0,2,1,0,0,1,5,2.0,1.0,4,0.0
2025-08-23 12:00:00,115310.13,115486.97,114560.0,114812.87,4,4,2,2,3,3,3,3,3,0.0,2,0.0,0.0,0.0,3.0,3.0,1.0,2,0,4,4.0,1.0,3,1,3,3,2,5,3.0,4.0,4,1.0
2025-08-23 16:00:00,114812.88,115190.74,114684.11,115133.91,2,2,3,4,0,0,0,0,0,0.0,2,0.0,0.0,0.0,4.0,4.0,3.0,3,1,4,3.0,4.0,1,4,0,1,3,5,2.0,0.0,4,2.0
2025-08-23 20:00:00,115133.92,115454.12,115001.88,115438.05,3,3,4,4,0,0,0,0,0,1.0,3,1.0,1.0,1.0,4.0,4.0,4.0,4,2,3,3.0,4.0,0,4,0,2,4,5,0.0,2.0,3,3.0
